confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200323,0,0,0,0,Belize,伯利兹
1,0,0,0,1,0,20200324,0,0,0,0,Belize,伯利兹
1,0,0,0,1,0,20200325,0,0,0,0,Belize,伯利兹
2,1,0,0,2,1,20200326,0,0,0,0,Belize,伯利兹
2,0,0,0,2,0,20200327,0,0,0,0,Belize,伯利兹
2,0,0,0,2,0,20200328,0,0,0,0,Belize,伯利兹
2,0,0,0,2,0,20200329,0,0,0,0,Belize,伯利兹
2,0,0,0,2,0,20200330,0,0,0,0,Belize,伯利兹
3,1,0,0,3,1,20200331,0,0,0,0,Belize,伯利兹
3,0,0,0,3,0,20200401,0,0,0,0,Belize,伯利兹
3,0,0,0,3,0,20200402,0,0,0,0,Belize,伯利兹
3,0,0,0,3,0,20200403,0,0,0,0,Belize,伯利兹
3,0,0,0,3,0,20200404,0,0,0,0,Belize,伯利兹
4,1,0,0,4,1,20200405,0,0,0,0,Belize,伯利兹
5,1,0,0,5,1,20200406,0,0,0,0,Belize,伯利兹
7,2,0,0,6,1,20200407,1,1,0,0,Belize,伯利兹
7,0,0,0,6,0,20200408,1,0,0,0,Belize,伯利兹
8,1,0,0,7,1,20200409,1,0,0,0,Belize,伯利兹
9,1,0,0,8,1,20200410,1,0,0,0,Belize,伯利兹
10,1,0,0,9,1,20200411,1,0,0,0,Belize,伯利兹
10,0,0,0,8,-1,20200412,2,1,0,0,Belize,伯利兹
13,3,0,0,11,3,20200413,2,0,0,0,Belize,伯利兹
14,1,0,0,12,1,20200414,2,0,0,0,Belize,伯利兹
18,4,0,0,16,4,20200415,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200416,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200417,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200418,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200419,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200420,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200421,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200422,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200423,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200424,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200425,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200426,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200427,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200428,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200429,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200430,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200501,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200502,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200503,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200504,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200505,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200506,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200507,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200508,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200509,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200510,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200511,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200512,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200513,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200514,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200515,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200516,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200517,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200518,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200519,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200520,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200521,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200522,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200523,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200524,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200525,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200526,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200527,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200528,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200529,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200530,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200531,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200601,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200602,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200603,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200604,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200605,2,0,0,0,Belize,伯利兹
18,0,0,0,16,0,20200606,2,0,0,0,Belize,伯利兹
